schema_version,workload,mode,selected_mode,repetition,config_path,event_count,sim_execution_ns,sim_execution_events_per_second,end_to_end_ns,end_to_end_events_per_second,simulated_end_time_ns,effective_thread_count,binary_sha256
2,fattree-k4-f8,st,st,8,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20747750,2606162.113964,23729375,2278694.655885,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,8,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,152290125,355039.435420,155300875,348156.441488,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,8,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,196138291,2385317.000646,199907000,2340348.261942,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,8,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,426733583,1096349.147660,431436333,1084398.703157,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,8,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1746260375,2148077.144567,1768118458,2121521.882783,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,8,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1937021625,1936522.004497,1964955834,1908992.016561,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,8,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14557782167,1483849.789219,15735342708,1372805.308461,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,8,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7201786916,2999378.939137,8415506667,2566795.898897,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,9,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20595125,2625475.689028,23526208,2298372.946460,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,9,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,152690417,354108.666820,155590375,347508.642485,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,9,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,196195833,2384617.414377,199773334,2341914.161577,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,9,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,427389334,1094666.999809,431951541,1083105.292128,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,9,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1739637500,2156254.966911,1761773875,2129162.007241,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,9,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1935334041,1938210.624385,1963034250,1910860.699450,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,9,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14428125917,1497184.189012,15622496417,1382721.520518,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,9,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7161157125,3016396.320169,8406567542,2569525.301745,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,10,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20602584,2624525.156650,23549042,2296144.361202,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,10,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,153157125,353029.609298,156114459,346342.038696,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,10,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,195395625,2394383.190514,199019583,2350783.741719,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,10,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,426339916,1097361.477174,431450875,1084362.153629,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,10,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1746962792,2147213.447921,1769124959,2120314.894048,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,10,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1938348500,1935196.379805,1966420625,1907570.004256,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,10,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14353009792,1505019.665774,15567550792,1387601.832081,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,10,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7220942125,2991422.396977,8426725958,2563378.482659,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,11,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20716375,2610109.152784,23741375,2277542.897157,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,11,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,152963750,353475.905239,156086334,346404.445632,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,11,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,196324708,2383052.060875,200014875,2339086.030476,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,11,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,429080792,1090351.767599,433979125,1078044.940526,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,11,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1765988666,2124080.449789,1788145625,2097760.913628,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,11,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1931221042,1942338.509379,1959278417,1914523.718249,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,st,mt,11,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,21601562,14452573792,1494651.562475,15618619709,1383064.726747,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k32-f4096,mt,mt,11,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,21600888,7122478750,3032776.756266,8352656959,2586109.797880,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,st,st,12,configs/benchmarks/baseline/fattree_k4_f8_st.toml,54072,20769792,2603396.317113,23829875,2269084.500024,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k4-f8,mt,st,12,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,54069,152938000,353535.419582,155976208,346649.022266,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,st,st,12,configs/benchmarks/baseline/fattree_k8_f64_st.toml,467852,196622791,2379439.319423,200338125,2335311.863381,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k8-f64,mt,st,12,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,467849,429959125,1088124.365310,434756916,1076116.291155,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,st,st,12,configs/benchmarks/baseline/fattree_k16_f512_st.toml,3751102,1738938042,2157122.283486,1760835417,2130296.769241,1500000000000,1,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
2,fattree-k16-f512,mt,st,12,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,3751085,1934437417,1939108.997290,1962868500,1911022.057769,1500000000000,18,sha256:a9717b7028e8aff1e75f05388810b36dac46ee37299b536af84054058e4b0e93
